Cod_InstitucionEjecutora|Representante|RepresentanteInstitucion|NombreProfesional|CArgoRepresentante|CargoRepresentanteInst|Profesion
153|Lizabeti de Fátima F Pauperio|Lizabeti de Fátima F Pauperio|Lizabeti de Fátima F Pauperio|Gerência Regional|Gerência Regional|Eng. Agr.
153|Maria José Lopes F. Matos |Maria José Lopes F. Matos |Maria José Lopes F. Matos ||Representante|Ingeniero
153|Mário Augusto Ribas do Nascimento|Mário Augusto Ribas do Nascimento|Águeda Marcéi Mezomo|Diretor Presidente|Diretor Presidente|Geografia, com especialização em gestão ambiental e desenvolvimento
153|ROBÉRIO HAMILTON DE C. BEZERRA|ROBÉRIO HAMILTON DE C. BEZERRA|GERALDO FIRMINO DA SILVA|Presidente|Presidente|
154|Dr. Irineu Cabral|Dr. Irineu Cabral|Irineu Cabral,|Gerente|Gerente|Economista
155|Francisco Sergio BELISH DE SOUSA SEÃO||Francisco Sergio BELISH DE SOUSA SEÃO||Secretário de Estado|Engenheiro
156|Milton MONTES|Milton MONTES|Milton MONTES|Professor / Engenheiro |Professor / Engenheiro |Professor / Engenheiro
157|José Homobono PAES DE ANDRADE|José Homobono PAES DE ANDRADE|José Homobono PAES DE ANDRADE|Presidente|Presidente|
158|Dra. Nazaré IMBIRIBA|Dra. Nazaré IMBIRIBA|Nazaré IMBIRIBA|Coordenadora de Cooperaçao|Coordenadora de Cooperaçao|Engenheiro Sanitário
160|Rodrigo VILLABON / Roberto CASTRO B.|Rodrigo VILLABON / Roberto CASTRO B.|Rodrigo VILLABON / Roberto CASTRO B.|Gerente / Socio Fundador|Gerente / Socio Fundador|Agrónomos
164|Geog. Camilo DOMINGUEZ|Geog. Camilo DOMINGUEZ|Camilo DOMINGUEZ|Investigador|Investigador|Geógrafo
168|Virginia Soto|Virginia Soto|Virginia Soto|Contacto|Contacto|Psicóloga
169|Miguel Angel VARGAS|Miguel Angel VARGAS|Miguel Angel VARGAS|||Ingeniero
171|Lic. Carmen MIRANDA|Lic. Carmen MIRANDA|Lic. Carmen MIRANDA|Directora|Directora Ejecutiva|
172|Ing. Carlos GARCIA-AGREDA DABDOUB|Ing. Carlos GARCIA-AGREDA DABDOUB|Carlos GARCIA-AGREDA DABDOUB|Jefe División de Electrificación Rural|Jefe División de Electrificación Rural|Ingeniero
172|Ing. Eduardo ELDER|Ing. Eduardo ELDER| Eduardo ELDER|Asesor Técnico de CRE|Asesor Técnico de CRE|Ingeniero
173| Andrés Trepp del Carpio| Andrés Trepp del Carpio| Erika Corico Pastén|Director|Director|Secretaria
174|Enrique BIRHUETT / Miguel FERNANDEZ|Enrique BIRHUETT / Miguel FERNANDEZ|Enrique BIRHUETT / Miguel FERNANDEZ|Coordinadores|Coordinadores|Ingenieros
175|Adolfo Weimar ARANCIBIA VALVERDE|Adolfo Weimar ARANCIBIA VALVERDE|Adolfo Weimar ARANCIBIA VALVERDE|Ingeniero Agrónomo|Ingeniero Agrónomo|Ingeniero
175|Ing. Abraham MONTAÑO SUAREZ|Ing. Abraham MONTAÑO SUAREZ|Abraham MONTAÑO SUAREZ|Investigador|Investigador|Ingeniero
175|Ing. Carlos ALARCON Z., Ing. Abraham MONTAÑO SUAREZ.|Ing. Carlos ALARCON Z., Ing. Abraham MONTAÑO SUAREZ.|Abraham MONTAÑO SUAREZ.|Ingenieros|Ingenieros|Ingeniero
176|Daniel CALLAU|Daniel CALLAU|Daniel CALLAU|Gerente Propietario|Gerente Propietario|Ingeniero
176|Emílio José MONTERO ARRUDA FILHO|Emílio José MONTERO ARRUDA FILHO|Emílio José MONTERO ARRUDA FILHO|Coordenador Técnico    |Coordenador Técnico    |Ingeniero
177|Víctor Hugo Jiménez|Víctor Hugo Jiménez|Víctor Hugo Jiménez|Gerente propietario|Gerente propietario|Ingeniero
178|Eduardo Lozada W|Eduardo Lozada W|Eduardo Lozada W|Gerente general|Gerente general|Ingeniero
183|Humberto Evaristo YOSUINE;  Rubén Darío CARIANIL|Humberto Evaristo YOSUINE  / Rubén Darío CARIANIL|Humberto Evaristo YOSUINE  |Presidente; Capitán Mayor AIKURIGUA|Presidente / Capitán Mayor AIKURIGUA|Militar
184|Marco Encalada|Marco Encalada|Marco Encalada|Director|Director|
187|Fabiola Tábora Merlo|Fabiola Tábora Merlo|Fabiola Tábora Merlo|Secretaria Ejecutiva|Secretaria Ejecutiva|Consultora de ambiente
199|Sr. Juan Carlos SCHULZE M.|Sr. Juan Carlos SCHULZE M.|Sr. Juan Carlos SCHULZE M.|Director Regional|Director Regional|Ingeniero. Director Regional del Programa
2|Sra. Alicia Bárcena Ibarra |Sra. Alicia Bárcena Ibarra |Sra. Alicia Bárcena Ibarra |Secretaria Ejecutiva|Secretaria Ejecutiva|Lic en Biología c/maestría en Ecología
205| Arqto. Lenkiza Angulo Villarreal.| Arqto. Lenkiza Angulo Villarreal.| Lenkiza Angulo Villarreal.|ARQUITECTA|Representante|Arquitecto
213|Claudia Lema Dodobara ||Claudia Lema Dodobara |||Médico
218|Ivonne Ramos y Nathalia Bonilla|Sr.   Andreu Felip i Ventura|Ricardo Carrere||Director|
220||Tony Destefano|Alexandra Almeida|||Periodista
246|Ing. JOSE M. RETO TIMANA|Ing. JOSE M. RETO TIMANA| JOSE M. RETO TIMANA|Representante|Representante|Ingeniero
248|||Individuo de la comunidad  ACHUAR|||
248|Ángel Medina Lozano|Ángel Medina Lozano|Ángel Medina Lozano|Ejecutivo Nacional|Ejecutivo Nacional|
248|Juan Vargas|Juan Vargas|Individuo de la comunidad Shuar|Representante|Representante|
25|Ing. Edwin Pajares Vigo|Ing. Edwin Pajares Vigo|Ing. Edwin Pajares Vigo|DIRECTOR DE AREA|DIRECTOR DE AREA|INGENIERO
250| William Lacy Swing | William Lacy Swing | William Lacy Swing |Director General|Director General|
251|Domingo Peas|Domingo Peas|Domingo Peas|Coordinador región amazónica|Coordinador región amazónica|Ingeniero
254|Lic.  Servio Quezada Romero|Lic. | Servio Quezada Romero|Alcalde|Alcalde|
256|Prof. José Bolívar Jaramillo|Prof. José Bolívar Jaramillo|José Bolívar Jaramillo|Alcalde|Alcalde|Profesor
258|Dra. Luz Marina MANTILLA CARDENAS|Dra. Luz Marina MANTILLA CARDENAS|Adriana RODRIGUEZ|Directora General|Directora General|Socióloga
26|PEDRO ERNESTO LÓPEZ AFRICANO |PEDRO ERNESTO LÓPEZ AFRICANO |PEDRO ERNESTO LÓPEZ AFRICANO |Ingeniero Geólogo|ING. GEÓLOGO|Ingeniero Geólogo
27|Geroncio Albuquerque Rocha|Geroncio Albuquerque Rocha|Geroncio Albuquerque Rocha|Geólogo-Asistente del Comité de la Cuenca Hidrográfica do Alto Tietê|Geólogo-Asistente del Comité de la Cuenca Hidrográfica do Alto Tietê|Geólogo
28|Minera Yanacocha S.r.l.|LUIS CAMPOS|LUIS CAMPOS||GERENTE DE MEDIO AMBIENTE|Ingeniero
29|María Inés Hernández de Padrón|María Inés Hernández de Padrón|María Inés Hernández de Padrón|Socióloga|Socióloga. Doctora en sociología en la Universidad de París III. Francia. Profesora titular de la Facultad de Ciencias Económicas|Sociologa
3| Luis Acosta|Luis Acosta| Luis Acosta|Ing. Agrícola|DIRECTOR|INGENIERO AGRICOLA
3| Roberto Manrique Arce| Roberto Manrique Arce| Roberto Manrique Arce|BIOLOGO||Ingeniero
3|Dr. Mauricio Pardón|Dr. Mauricio Pardón|Dr. Mauricio Pardón|DIRECTOR|DIRECTOR|Médico
3|Julio Moscoso Cavallini|Mauricio Pardón|Julio Moscoso Cavallini|Ingeniero|Director|INGENIERO
3|Lic. Olga del Carpio|Lic. Olga del Carpio|Lic. Olga del Carpio||DIRECTOR|
3|RAFAEL AMADOR RODEZNO|RAFAEL AMADOR RODEZNO|RAFAEL AMADOR RODEZNO|CONSULTOR EXTERNO|CONSULTOR EXTERNO|CONSULTOR EXTERNO
30|Guido Briceño Méndez|Guido Briceño Méndez|Guido Briceño Méndez|Ingeniero|Despacho del Gobernador|Ingeniero
303|Mr. William Andries|Mr. William Andries|Mr. William Andries|CHAIRMAN|CHAIRMAN|CHAIRMAN
307|Dr. Glenn Sankatsing|Dr. Glenn Sankatsing||Director|Director|
310|William Chapalbay|William Chapalbay|William Chapalbay|Ingeniero|Ingeniero|Ingeniero
311|Mario Brito|Mario Brito|Mario Brito|Director Ejecutivo|Director Ejecutivo|Ingeniero
312||||||
313|Renato Oña Pólit|Ing.  Alecksey Mosquera| Alecksey Mosquera|Resp. del programa|Ministro|Ingeniero
314|Adolfo Brinkmann|Adolfo Brinkmann|Patricia Peñaherrera|Presidente|Presidente|Técnica
316|Hugo Reibán |Hugo Reibán |Hugo Reibán |Tecnico|Tecnico|Tecnico
34|Isaac Zilberman |Ing. Isaac Zilberman | Isaac Zilberman |Director Ejecutivo|Director Ejecutivo|Ingeniero
4|Ms. Claudia Valle|Ms. Claudia Valle|Ms. Claudia Valle|National Coordinator of the ASPnet|National Coordinator of the ASPnet|National Coordinator of the ASPnet
40|Ing. Angie Garrido|Ing. Angie Garrido|Angie Garrido|Especialista en Hidrocarburos|Especialista en Hidrocarburos|Ingeniero
41|Carl R. Bartone|Janet McKinley |Janet McKinley |Representante|Presidente|
56|Dr. Carlos A. LINGER|Dr. Carlos A. LINGER|Dr. Carlos A. LINGER|Representante en Bolivia|Representante en Bolivia|Médico
57|Ing. Juan Manuel BERNAL|Ing. Juan Manuel BERNAL|Ing. Juan Manuel BERNAL|Coordinador Oficina de Planeación y Agua Potable|Coordinador Oficina de Planeación y Agua Potable|Ingeniero
73|Prof. María Esculpi|Prof. María Esculpi| Nelson Hernández|Decana|Decana|Ingeniero
84|Jane Yeomans|Jane Yeomans|Raúl Botero |Coordinadora|Coordinadora|Investigador
87|Arq. Guillermo CORTES MORENO || Guillermo CORTES MORENO |Coordinador del Proyecto|Coordinador del Proyecto|Arquitecto
9|Alfonso Carrasco|Alfonso Carrasco|Alfonso Carrasco|DIRECTOR Soluciones Prácticas - ITDG|DIRECTOR Soluciones Prácticas - ITDG|Ingeniero
9|JAVIER COELLO|JAVIER COELLO|JAVIER COELLO|||Ingeniero
9|Oscar Castillo|Oscar Castillo|OSCAR CASTILLO Y NATHALIE VESCO|Representante||Cooperantes
