Cod_Proyecto|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE
CO031IIP01T01|False|False|False|False|False|False|True|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
CO057II-IIIP04T01|False|False|False|False|False|False|True|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO115I-IIP01T00|True|True|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO117I-II-IIIO01T01|True|True|False|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO118IP01T01|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO120IP01T00|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121II-IIIP02T01|False|False|False|False|False|False|True|False|False|False|False|True|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False
CO121IIIP03T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False
CO121IIIP04T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False
CO121IIIP11T01|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121IIP06T01|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121IIP07T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False
CO121IIP08T01|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|True|True|False|False|False|False|False|False|False
CO121IIP09T01|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121IIP10T01|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121IIP11T01|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO121IP01T01|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO122I-IIP01T01|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
CO160IIP01T00|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
CO164IIP01T00|False|False|True|False|False|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
CO183IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|True
CO258IIP01T00|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
EC084IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|True|True|False|False|True|False|False|False|False|True|False|False|False|False|False|False
EC105IIP01T02|False|False|False|False|False|False|True|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC110IIP02T01|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC149IIP01T02|False|False|True|False|False|False|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC149IIP02T03|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
EC149IIP03T01|False|False|True|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC184IIP01T01|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
EC218IIP01T01|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC220IIP01T01|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False
EC248IIP01T01|False|False|False|False|False|False|False|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC248IIP02T01|False|False|False|False|False|False|False|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC248IIP04T01|False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC250IIP01T01|False|False|False|False|False|True|False|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC251IIP01T01|False|False|False|False|False|False|False|True|True|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC254IIP01T00|False|False|False|False|False|True|False|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC256IIP01T01|False|False|True|False|False|False|False|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC310IIP01T01|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
EC311IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False
EC311IIIP03T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False
EC313IIIP01T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False
EC314IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False
EC314IIIP02T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|True|False|False|False|False|False|False|False|False
EC316IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|False|False|False|False|False|False|False
GU004IVP00dT00|False|False|False|False|False|False|False|False|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|True
GU303IIIP01T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|True|True|False|False|False|True|False|False|True
